Title,Date,Duration,Genres,Director,Crew,Synopsis,Note_Ac,User_score_2
The Cursed,13 juillet 2022,1h 50min,[],N/A,"['Uhm Ji-won', 'Ji-so Jung']","Suite à une série de meurtres étranges, une journaliste spécialisée dans le paranormal, Im Jin Hee, est appelée en renfort pour mener l’enquête. Alors que la théorie d’un tueur en série semblait la plus plausible, plusieurs corps se mettent à mystérieusement disparaître. Une course contre la montre s’engage pour la journaliste, car les morts se réveillent...","2,5",--
Hunger,8 avril 2023,2h 26min,[],N/A,"['Chutimon Chuengcharoensukying', 'Kenneth Won']",Une jeune femme à la tête d'un restaurant de cuisine de rue repousse ses limites après avoir accepté d'être formée par un grand chef aussi talentueux qu'implacable.,"3,5",--
Baby Boss,29 mars 2017,1h 38min,[],N/A,"['Timothé Vom Dorp', 'Miles Christopher Bakshi']","C'est toujours un choc de voir ses parents rentrer à la maison avec un bébé dans les bras – surtout quand il porte une cravate, qu’il se balade avec un attaché-case et qu’il a la voix d’un quinquagénaire ! Tim, 7 ans, a en réalité affaire à un espion que lui seul peut aider à accomplir sa mission ultra secrète…","3,4","3,3"
Le Labyrinthe,15 octobre 2014,1h 54min,[],N/A,"[""Dylan O'Brien"", 'Aml Ameen']","Quand Thomas reprend connaissance, il est pris au piège avec un groupe d’autres garçons dans un labyrinthe géant dont le plan est modifié chaque nuit. Il n’a plus aucun souvenir du monde extérieur, à part d’étranges rêves à propos d’une mystérieuse organisation appelée W.C.K.D.","3,4","3,6"
Le Cercle des poètes disparus,17 janvier 1990,2h 08min,[],N/A,"['Robin Williams', 'Ethan Hawke']","Todd Anderson, un garçon plutôt timide, est envoyé dans la prestigieuse académie de Welton, réputée pour être l'une des plus fermées et austères des États-Unis, là où son frère avait connu de brillantes études.C'est dans cette université qu'il va faire la rencontre d'un professeur de lettres anglaises plutôt étrange, Mr Keating, ...","4,0","4,3"
The Novice,11 janvier 2023,1h 37min,[],N/A,"['Isabelle Fuhrman', 'Amy Forsyth']","Alex Dall, jeune fille solitaire et dévorée par un besoin de réussir, décide de s’inscrire au club d'aviron de son université. Dès son arrivée, elle veut rejoindre le meilleur équipage par tous les moyens, y compris dépasser ses propres limites physiques et mentales.","3,2","2,9"
Incendies,12 janvier 2011,2h 03min,[],N/A,"['Rémy Girard', 'Lubna Azabal']","A la mort de leur mère, un frère et une soeur décident de se rendre au Liban à la recherche de leur père, de leur frère et de leur histoire familiale.","3,8","4,3"
300,21 mars 2007,1h 55min,[],N/A,"['Gerard Butler', 'Lena Headey']","L'évocation de la bataille des Thermopyles, qui vit le roi grec Léonidas et ses 300 spartiates affronter des milliers de soldats perses...","2,9","3,9"
La Chute,5 janvier 2005,2h 36min,[],N/A,"['Bruno Ganz', 'Alexandra Maria Lara']","Berlin, avril 1945. Le IIIe Reich agonise. Les combats font rage dans les rues de la capitale. Tandis qu'à l'extérieur la situation se dégrade, Hitler vit ses dernières heures et la chute du régime.","3,5","4,0"
Le Seigneur des anneaux : les deux tours,18 décembre 2002,2h 59min,[],N/A,"['Elijah Wood', 'Sean Astin']","Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...","4,0","4,5"
L’Ombre d’un mensonge,23 mars 2022,1h 39min,[],N/A,['Michelle Fairley'],"Phil s’est exilé dans une petite communauté presbytérienne sur l'Île de Lewis, au nord de l'Ecosse. Une nuit, il est victime d'une attaque qui lui fait perdre la mémoire. De retour sur l’ile, il retrouve Millie, une femme de la communauté qui s'occupe de lui.","3,9","3,8"
La Dernière reine,19 avril 2023,1h 50min,[],N/A,"['Adila Bendimerad', 'Dali Benssalah']","Au début du XVIe siècle, en Algérie. Une reine décide courageusement de tenir tête à un pirate assoiffé de pouvoir et soupçonné de nombreux méfaits.","3,8","4,1"
Neuilly sa mère !,12 août 2009,1h 30min,[],N/A,"['Samy Seghir', 'Jérémy Denisty']","Sami, 14 ans, vivait heureux avec ses copains dans son HLM de Chalon-sur-Saône. Hélas, le destin l'arrache un jour à son paradis et le propulse dans l'enfer d'une famille bourgeoise de Neuilly-sur-Seine !","2,7","2,6"
Misery,13 février 1991,1h 47min,[],N/A,"['James Caan', 'Kathy Bates']","Paul Shelton écrivait pour vivre, maintenant il écrit pour rester en vie.","4,1",--
La Grande évasion,11 septembre 1963,2h 49min,[],N/A,"['Steve McQueen', 'Charles Bronson']","Durant la Seconde Guerre Mondiale, des officiers alliés récidivistes de l'évasion sont prisonniers et surveillés étroitement dans un stalag. Malgré cela, ils préparent une évasion massive...","3,8","4,3"
Bizkarsoro,12 janvier 2024,1h 22min,[],N/A,"['Bea Kurutxarri', 'Martxela Aneva-Fuchs']","Cinq histoires vraies basées sur des témoignages écrits et oraux, qui se déroulent entre 1914 et 1982, dans un village qui n'existe pas. Ces histoires mettent en lumière les changements sociaux vécus par un petit village au cours du XXe siècle. Le rayonnement et la fin d'une langue. Et la lutte pour la survie.","3,1",--
La Course au miel,22 novembre 2023,1h 13min,[],N/A,[],"Un papa ours et son ourson Teddy partent à la recherche de miel pour préparer un gâteau d’anniversaire. Ne trouvant rien aux alentours, Teddy convainc papa ours de partir à la recherche de l’Eldorado, un lieu magique qui abriterait une source inépuisable de miel.","3,3","3,0"
Collateral,29 septembre 2004,2h 00min,[],N/A,"['Tom Cruise', 'Jamie Foxx']","En pleine nuit, à Los Angeles, un chauffeur de taxi se retrouve contraint d'aider un mystérieux tueur à gages dans l'accomplissement de ses contrats.","4,4","3,9"
Lion,22 février 2017,1h 58min,[],N/A,"['Dev Patel', 'Rooney Mara']","Une incroyable histoire vraie :  à 5 ans, Saroo se retrouve seul dans un train traversant l’Inde qui l’emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l’immense ville de Calcutta.","3,1","4,4"
Marinaleda,5 juillet 2023,0h 51min,[],N/A,"['François Rivière (II)', 'Luc Chessel']","Juillet. Sastefanus et Kyrie font du stop sur les routes de Corrèze. Leur objectif : rejoindre Marinaleda, un village autogéré au cœur de l’Andalousie. Ils n’avancent pas beaucoup... jusqu’à ce que Lise les accueille dans sa voiture. Mais sont-ils vraiment de simples auto-stoppeurs ?","3,4","2,2"
Les Lignes courbes de Dieu,9 décembre 2022,2h 35min,[],N/A,"['Bárbara Lennie', 'Eduard Fernández']",Une détective privée qui prétend souffrir de paranoïa se fait interner dans un hôpital psychiatrique afin d'enquêter sur la mort mystérieuse d'un autre patient.,"3,8",--
Carbone,1 novembre 2017,1h 44min,[],N/A,"['Benoît Magimel', 'Gringe']","Menacé de perdre son entreprise, Antoine Roca, un homme ordinaire, met au point une arnaque qui deviendra le casse du siècle. Rattrapé par le grand banditisme, il lui faudra faire face aux trahisons, meurtres et règlements de compte.","3,1","3,6"
Nimona,30 juin 2023,1h 41min,[],N/A,"['Chloë Grace Moretz', 'Riz Ahmed']","Pour se disculper, un chevalier accusé d'un terrible crime fait appel à Nimona, une adolescente métamorphe qui pourrait bien être le monstre qu'il a juré de détruire.","3,8","4,2"
Le Nouveau monde,15 février 2006,2h 16min,[],N/A,"['Colin Farrell', 'Christian Bale']","La confrontation au début du XVIIe siècle entre le peuple indien, les Powhatan, dont fait partie la belle Pocahontas, et les colons anglais menés par le fringant aventurier John Smith.","4,2","3,1"
Le Bleu du Caftan,22 mars 2023,2h 02min,[],N/A,"['Lubna Azabal', 'Saleh Bakri']","Halim est marié depuis longtemps à Mina, avec qui il tient un magasin traditionnel de caftans dans la médina de Salé, au Maroc. Le couple vit depuis toujours avec le secret d’Halim, son homosexualité qu’il a appris à taire.","3,8","4,2"
La Nonne : La Malédiction de Sainte Lucie,13 septembre 2023,1h 49min,[],N/A,"['Taissa Farmiga', 'Jonas Bloquet']","Le mal n’a jamais été aussi proche : Valak, la nonne démoniaque de Conjuring revient… Dans le sud de la France.","2,4","2,3"
Equalizer,1 octobre 2014,2h 12min,[],N/A,['Denzel Washington'],"Pour McCall, la page était tournée. Il pensait en avoir fini avec son mystérieux passé. Mais lorsqu’il fait la connaissance de Teri, une jeune fille victime de gangsters russes violents, il lui est impossible de ne pas réagir. Sa soif de justice se réveille et il sort de sa retraite pour lui venir en aide. McCall n’a pas oublié ses talents d’autrefois…","3,1","3,9"
Une zone à défendre,7 juillet 2023,1h 43min,[],N/A,"['François Civil', 'Lyna Khoudri']","Greg, officier de la DGSI, est envoyé sous une fausse identité pour infiltrer une ZAD. Il y rencontre Myriam, une militante écologiste. 18 mois plus tard, Greg retourne sur place pour une mission officielle, il retrouve Myriam et découvre qu’elle a un bébé. Déchiré entre son ambition professionnelle et un amour naissant, Greg doit faire un choix, qui peut tout changer. Car le temps presse, bientôt tout disparaîtra.","3,2","3,4"
Bumblebee,26 décembre 2018,1h 54min,[],N/A,"['Hailee Steinfeld', 'John Cena']","1987. Alors qu'il est en fuite, l'Autobot Bumblebee trouve refuge dans la décharge d'une petite ville balnéaire de Californie. Il est découvert, brisé et couvert de blessures de guerre, par Charlie, une ado qui approche de ses 18 ans et cherche sa place dans le monde.","3,2","3,4"
Sur la branche,26 juillet 2023,1h 31min,[],N/A,"['Daphne Patakia', 'Benoît Poelvoorde']","Mimi a presque trente ans et rêve toujours à ce qu'elle pourrait faire quand elle sera grande. Alors qu'elle se décide à chercher du travail, elle fait la connaissance de Paul, un avocat sur la touche. Ensemble ils vont tenter de défendre Christophe, un petit arnaqueur qui clame son innocence. Si Paul voit dans cette affaire un moyen de se refaire, Mimi y voit, elle, une mission, un chemin vers la justice et la vérité.","3,3","3,1"
Cartel,13 novembre 2013,1h 51min,[],N/A,"['Michael Fassbender', 'Penélope Cruz']","La descente aux enfers d’un avocat pénal, attiré par l’excitation, le danger et l’argent facile du trafic de drogues à la frontière américano-mexicaine. Il découvre qu’une décision trop vite prise peut le faire plonger dans une spirale infernale, aux conséquences fatales.","2,4","1,8"
The Big Short : le Casse du siècle,23 décembre 2015,2h 11min,[],N/A,"['Christian Bale', 'Steve Carell']","Wall Street. 2005. Profitant de l’aveuglement généralisé des grosses banques, des medias et du gouvernement, quatre outsiders anticipent l’explosion de la bulle financière et mettent au point… le casse du siècle !","3,5","3,7"
Incroyable mais vrai,15 juin 2022,1h 14min,[],N/A,"['Alain Chabat', 'Léa Drucker']",Alain et Marie emménagent dans un pavillon. Une trappe située dans la cave va bouleverser leur existence.,"3,5","2,9"
Captain Fantastic,12 octobre 2016,1h 58min,[],N/A,"['Viggo Mortensen', 'Frank Langella']","Dans les forêts reculées du nord-ouest des Etats-Unis, vivant isolé de la société, un père dévoué a consacré sa vie toute entière à faire de ses six jeunes enfants d’extraordinaires adultes.Mais quand le destin frappe sa famille, ils doivent abandonner ce paradis qu’il avait créé pour eux.","3,6","4,3"
Le Hobbit : la Désolation de Smaug,11 décembre 2013,2h 41min,[],N/A,"['Martin Freeman', 'Richard Armitage']","Les aventures de Bilbon Sacquet, paisible hobbit, qui sera entraîné, lui et une compagnie de Nains, par le magicien Gandalf pour récupérer le trésor détenu par le dragon Smaug. Au cours de ce périple, il mettra la main sur l'anneau de pouvoir que possédait Gollum...","3,7","4,2"
Monsieur & Madame Adelman,8 mars 2017,2h 00min,[],N/A,['Nicolas Bedos'],"Comment Sarah et Victor ont-ils fait pour se supporter pendant plus de 45 ans ? Qui était vraiment cette femme énigmatique vivant dans l'ombre de son mari ? Amour et ambition, trahisons et secrets nourrissent cette odyssée d'un couple hors du commun, traversant avec nous petite et grande histoire du dernier siècle.","3,4","4,0"
Baby Driver,19 juillet 2017,1h 53min,[],N/A,"['Ansel Elgort', 'Kevin Spacey']","Chauffeur pour des braqueurs de banque, Baby a un truc pour être le meilleur dans sa partie : il roule au rythme de sa propre playlist. Lorsqu’il rencontre la fille de ses rêves, Baby cherche à mettre fin à ses activités criminelles pour revenir dans le droit chemin.","3,7","3,9"
Indiana Jones et le Royaume du Crâne de Cristal,21 mai 2008,2h 03min,[],N/A,"['Harrison Ford', 'Shia LaBeouf']","Le quatrième épisode des aventures du célèbre archéologue Indiana Jones, lancé sur les traces des légendaires crânes de cristal. A ses trousses, la cruelle et somptueuse Irina Spalko et ses sinistres sbires russes...","3,0","3,1"
Edward aux mains d'argent,10 avril 1991,1h 45min,[],N/A,"['Johnny Depp', 'Winona Ryder']","Edward Scissorhands n'est pas un garcon ordinaire. Création d'un inventeur, il a recu un coeur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son oeuvre...","4,4","4,4"
L'Armée des 12 singes,28 février 1996,2h 10min,[],N/A,"['Bruce Willis', 'Madeleine Stowe']",Nous sommes en l'an 2035. Les quelques milliers d'habitants qui restent sur notre planète sont contraints de vivre sous terre. La surface du globe est devenue inhabitable à la suite d'un virus ayant décimé 99% de la population.,"4,4","4,1"
Le Royaume de Naya,29 mars 2023,1h 39min,[],N/A,"['Nataliya Denisenko', 'Artem Pivovarov']","Par-delà les hautes Montagnes Noires se cache un royaume peuplé de créatures fantastiques. Naya, la nouvelle élue de cette forêt enchantée, rencontre Lucas, un jeune humain égaré dans les montagnes. À l’encontre des règles établies depuis des millénaires, ils vont se revoir...","3,3","3,3"
Un Noël Chez Les Loud,11 février 2023,1h 04min,[],N/A,"['Wolfgang Schaeffer', 'Jahzir Bruno']","Lincoln Loud prépare un Noël inoubliable pour sa famille, jusqu'à ce qu'il découvre que la plupart de ses sœurs ont prévu d'être ailleurs pour le grand jour. Déterminé à rappeler à sa famille qu'ils ont besoin d'être tous ensemble, Lincoln et son meilleur ami Clyde McBride se lancent dans une mission visant à préserver les traditions familiales de Noël.","2,7",--
"Maman, j'ai raté l'avion ! (ça recommence)",12 novembre 2021,1h 33min,[],N/A,"['Archie Yates', 'Ellie Kemper']","Max Mercer est un petit garçon facétieux et plein de ressources qui a été laissé à la maison pendant que sa famille est en vacances au Japon pour les fêtes. Alors, lorsqu’un couple marié, qui tente de récupérer un précieux héritage, jette son dévolu sur la maison des Mercer, c’est Max qui va devoir protéger le domicile familial des intrus…","1,0",--
"Le Monde de Narnia : Chapitre 1 - Le lion, la sorcière blanche et l'armoire magique",21 décembre 2005,2h 20min,[],N/A,"['Georgie Henley', 'Skandar Keynes']","Quatre enfants pénétrent dans une armoire magique qui les propulse dans le monde de Narnia. Autrefois paisible, ce pays magique peuplé de nains et de géants est aujourd'hui congelé par la maléfique Sorcière Blanche.","3,5","3,2"
Les Sept mercenaires,1 février 1961,2h 08min,[],N/A,"['Yul Brynner', 'Eli Wallach']","Pour se défendre de bandits impitoyables qui pillent leurs récoltes, des fermiers mexicains font appel à sept valeureux cow-boys. Ces sept mercenaires vont se retrouver plongés dans une lutte sans merci pour la justice et pour l'honneur...","5,0","4,2"
L'Arche de Noé,22 novembre 2023,1h 45min,[],N/A,"['Valérie Lemercier', 'Finnegan Oldfield']","Une association accueille des jeunes LGBT mis à la rue par leurs familles. Derrière l’apparente comédie, les excès, l’envie de s'affirmer, se cachent des vies brisées. Tous ont cette furieuse envie d’exister, de trouver leur place dans la société. Ici, ils ont six mois, pour trouver un travail, un logement et s’accepter comme ils sont.","3,0","3,4"
Le Nom de la Rose,17 décembre 1986,2h 12min,[],N/A,"['Sean Connery', 'Christian Slater']","En l'an 1327, dans une abbaye bénédictine, des moines disparaissent. Un franciscain, Guillaume de Baskerville aidé du jeune novice Adso von Melk mène l'enquête. C'est l'époque où l'Eglise, en pleine crise, se voit disputer son pouvoir spirituel et temporel. C'est aussi l'apogée de l'inquisition. Un thriller moyenageux très attendu préparé avec soin pendant trois ans, respectant le mieux possible l'époque et qui a coûté la bagatelle de dix-neuf millions de dollars. C'est également un film de Jean-Jacques Annaud toujours passionnément entraîné par ses sujets.","4,8","4,2"
Alibi.com,15 février 2017,1h 30min,[],N/A,['Élodie Fontan'],"Greg a fondé une entreprise nommée Alibi.com qui crée tout type d'alibi. Avec Augustin son associé, et Medhi son nouvel employé, ils élaborent des stratagèmes et mises en scène imparables pour couvrir leurs clients.","2,9","3,5"
There Will Be Blood,27 février 2008,2h 38min,[],N/A,"['Daniel Day-Lewis', 'Paul Dano']",Un prospecteur achète des puits de pétrole à une famille qui vit dans un ranch.,"4,6","4,1"
"Paris, Texas",19 septembre 1984,2h 27min,[],N/A,"['Harry Dean Stanton', 'Nastassja Kinski']","Un homme réapparaît subitement après quatre années d'errance, période sur laquelle il ne donne aucune explication à son frère venu le retrouver. Accompagné de son fils, il part au Texas à la recherche de Jane, la mère de l'enfant.","4,2",--
Irréductible,29 juin 2022,1h 25min,[],N/A,['Laetitia Dosch'],"Vincent Peltier, paisible employé aux « Eaux et forêts » à Limoges, est incité à démissionner à cause d’une révision des effectifs, ce qu’il souhaite le moins du monde. Une inspectrice trop zélée décide de le muter dans les pires endroits au monde pour le pousser à renoncer.","2,9","3,1"
Eaux profondes,18 mars 2022,1h 55min,[],N/A,"['Ben Affleck', 'Ana de Armas']","Vic et Melinda Van Allen est un couple aisé de la Nouvelle-Orléans dont le mariage s'écroule sous le poids de la rancœur, de la jalousie et du doute. Alors que leurs provocations et manipulations mutuelles s'intensifient, les choses se transforment rapidement en un jeu du chat et de la souris mortel lorsque les amants de Melinda commencent à disparaître.","2,3","2,0"
Jurassic Park,20 octobre 1993,2h 02min,[],N/A,"['Sam Neill', 'Laura Dern']",C'est à partir d'une goutte de sang absorbée par un moustique fossilisé que John Hammond et son équipe ont réussi à faire renaître une dizaine d'espèces de dinosaures.,"3,4","4,3"
Eyes Wide Shut,15 septembre 1999,2h 39min,[],N/A,"['Tom Cruise', 'Nicole Kidman']","William Harford, médecin, mène une paisible existence familiale. Jusqu'au jour où sa femme, Alice, lui avoue avoir eut le désir de le tromper quelques mois auparavant...","4,1","3,6"
Les Animaux fantastiques,16 novembre 2016,2h 13min,[],N/A,"['Eddie Redmayne', 'Katherine Waterston']",1926. Norbert Dragonneau rentre à peine d'un périple à travers le monde où il a répertorié un bestiaire extraordinaire de créatures fantastiques. Il pense faire une courte halte à New York mais une série d'événements et de rencontres inattendues risquent de prolonger son séjour.,"3,5","4,0"
L'Assaut,9 mars 2011,1h 30min,[],N/A,"['Vincent Elbaz', 'Gregori Derangère']","En 1994, des terroristes prennent en otages les passagers d'un avion reliant Alger à Paris. Le GIGN dépêche une équipe, mais les négociations s'annoncent dures.","2,8","3,4"
Le Nouveau,23 décembre 2015,1h 21min,[],N/A,"['Réphaël Ghrenassia', 'Joshua Raccah']","La première semaine de Benoit dans son nouveau collège ne se passe pas comme il l’aurait espéré. Il est malmené par la bande de Charles, des garçons populaires, et les seuls élèves à l’accueillir avec bienveillance sont des « ringards ».","3,8","3,2"
Vol au-dessus d'un nid de coucou,1 mars 1976,2h 09min,[],N/A,"['Jack Nicholson', 'Louise Fletcher']",Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.,"5,0","4,5"
Creed III,1 mars 2023,1h 57min,[],N/A,['Tessa Thompson'],"Idole de la boxe et entouré de sa famille, Adonis Creed n’a plus rien à prouver. Jusqu’au jour où son ami d’enfance, Damian, prodige de la boxe lui aussi, refait surface. A peine sorti de prison, Damian est prêt à tout pour monter sur le ring et reprendre ses droits.","2,7","3,5"
Evil Dead Rise,19 avril 2023,1h 37min,[],N/A,"['Lily Sullivan', 'Alyssa Sutherland']","Beth rend visite à sa grande sœur Ellie et ses trois enfants. Mais leurs retrouvailles tournent au cauchemar, quand elles découvrent un mystérieux livre dans le sous-sol de l’immeuble, dont la lecture libère des démons qui prennent possession des vivants...","3,1","2,9"
"Maman, j'ai encore raté l'avion",16 décembre 1992,1h 59min,[],N/A,"['Macaulay Culkin', 'Joe Pesci']","Après Paris, c'est à Miami que la tribu McCallister décide de passer les fêtes de Noël. A l'aube du jour J, toute la famille est sur le pied de guerre et file a l'aéroport en prenant bien garde de ne pas oublier Kevin. Mais celui-ci s'éclipse pour acheter des piles pour son walkman, il ne retrouve plus les siens et s'embarque par mégarde ...","3,1",--
La Syndicaliste,1 mars 2023,2h 01min,[],N/A,"['Isabelle Huppert', 'Grégory Gadebois']","Un matin, Maureen Kearney est violemment agressée chez Elle. elle travaillait sur un dossier sensible dans le secteur nucléaire français et subissait de violentes pressions politiques. Les enquêteurs ne retrouvent aucune trace des agresseurs… Est-elle victime ou coupable de dénonciation mensongère ?","3,3","3,9"
The Lobster,28 octobre 2015,1h 59min,[],N/A,"['Colin Farrell', 'Rachel Weisz']","Dans un futur proche… Toute personne célibataire est arrêtée, transférée à l’Hôtel et a 45 jours pour trouver l’âme soeur. Passé ce délai, il sera transformé en l'animal de son choix. Pour échapper à ce destin, un homme s'enfuit et rejoint dans les bois un groupe de résistants ; les Solitaires.","3,4","3,3"
Smile,28 septembre 2022,1h 55min,[],N/A,"['Sosie Bacon', 'Jessie T. Usher']","Lors d'une séance, une psychiatre se retrouve témoin d'un événement concernant sa patiente qui va la traumatiser. Sa vie tourne alors au cauchemar.","3,2","3,1"
Au Revoir Là-haut,25 octobre 2017,1h 57min,[],N/A,['Nahuel Perez Biscayart'],"Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts. Dans la France des années folles, l'entreprise va se révéler aussi dangereuse que spectaculaire..","3,9","4,3"
RRRrrrr !!!,28 janvier 2004,1h 38min,[],N/A,"['Maurice Barthélémy', 'Jean-Paul Rouve']",Une comédie préhistorique sur l'affrontement de deux tribus : les Cheveux Sales contre les Cheveux Propres. L'enjeu de cette lutte acharnée : la quête du shampooing.,"2,6","2,3"
"Vaiana, la légende du bout du monde",16 novembre 2016,1h 47min,[],N/A,"['Cerise Calixte', ""Auli'i Cravalho""]","C’est depuis les îles océaniennes du Pacifique Sud que la jeune Vaiana, en navigatrice émérite, décide d’entamer ses recherches pour retrouver une île aussi mystérieuse que fabuleuse. Au cours de cette traversée au long cours, elle va faire équipe avec son idole, le légendaire demi-dieu Maui.","3,6","4,2"
Luther : Soleil déchu,10 mars 2023,2h 09min,[],N/A,"['Idris Elba', 'Cynthia Erivo']","Hanté par un meurtre non résolu, John Luther, brillant policier londonien en disgrâce, s'évade de prison pour traquer un sinistre tueur en série.","3,3","3,1"
Animalia,9 août 2023,1h 30min,[],N/A,"['Oumaïma Barid', 'Mehdi Dehbi']","Itto, jeune marocaine d’origine modeste, est confrontée à des événements surnaturels qui plongent le pays dans l’état d’urgence. Des phénomènes de plus en plus inquiétants suggèrent qu’une présence mystérieuse approche. Seule, elle peine à trouver de l'aide…","3,6","3,2"
Le Fabuleux destin d'Amélie Poulain,25 avril 2001,2h 00min,[],N/A,"['Audrey Tautou', 'Mathieu Kassovitz']","Amélie, une jeune serveuse dans un bar de Montmartre, passe son temps à observer les gens et à laisser son imagination divaguer. Elle s'est fixé un but : faire le bien de ceux qui l'entourent. Elle invente alors des stratagèmes pour intervenir incognito dans leur existence.","4,4","3,9"
No Escape,2 septembre 2015,1h 43min,[],N/A,"['Owen Wilson', 'Lake Bell']","Jack, un homme d’affaires américain, s’expatrie en Asie du sud-est avec sa famille pour mener une vie de rêve dans un décor paradisiaque. Fraîchement débarqués, leur projet tourne court. Un coup d’état éclate dans le pays et la tête des expatriés se retrouve mise à prix.","2,7","3,6"
Official Secrets,2 janvier 2020,1h 52min,[],N/A,"['Keira Knightley', 'Matt Smith (XI)']","2003 : les Etats-Unis et l’Angleterre souhaitent intervenir en Irak. Katharine Gun, employée des renseignements britanniques, reçoit une note de la NSA : les États-Unis sollicitent l'aide de la Grande-Bretagne...","3,8",--
After - Chapitre 1,28 août 2010,1h 46min,[],N/A,"['Josephine Langford', 'Hero Fiennes Tiffin']","Depuis son plus jeune âge, Tessa était promise à un avenir tout tracé : une vie rangée, une brillante carrière, un mariage tranquille avec son fiancé de toujours. Jusqu’à sa rencontre avec Hardin à son arrivée à l’université. Grossier, provocateur, cruel, c’est le garçon le plus détestable qu’elle ait jamais croisé. Et pourtant, ce bad boy tatoué pourrait bien lui faire perdre tout contrôle…","1,9","2,4"
Burning Days,26 avril 2023,2h 11min,[],N/A,"['Selahattin Paşalı', 'Ekin Koç']","Emre, un jeune procureur déterminé et inflexible, vient d’être nommé dans une petite ville reculée de Turquie. À peine arrivé, il se heurte aux notables locaux bien décidés à défendre leurs privilèges par tous les moyens, même les plus extrêmes.","3,7","3,9"
Désigné Coupable,14 juillet 2021,2h 10min,[],N/A,"['Tahar Rahim', 'Jodie Foster']","Capturé par le gouvernement américain, Mohamedou Ould Slahi est détenu depuis des années à Guantánamo, sans jugement ni inculpation. À bout de forces, il se découvre deux alliées inattendues : l’avocate Nancy Hollander et sa collaboratrice Teri Duncan.","3,8","4,2"
Mademoiselle,1 novembre 2016,2h 31min,[],N/A,"['Kim Min-Hee', 'Tae-ri Kim']","Corée. Années 30, pendant la colonisation japonaise. Une jeune femme est engagée comme servante d’une riche japonaise, vivant recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Mais Sookee a un secret.","3,8","4,2"
Le Majordome,11 septembre 2013,2h 12min,[],N/A,"['Forest Whitaker', 'Oprah Winfrey']","L’histoire vraie d’un majordome à la Maison-Blanche, qui fut le témoin privilégié des bouleversements politiques et des grands événements historiques, durant ses trente années de service auprès de sept présidents différents.","3,2","4,2"
Le Voyage du Dr Dolittle,5 février 2020,1h 42min,[],N/A,"['Robert Downey Jr.', 'Antonio Banderas']","Après la perte de sa femme sept ans plus tôt, l’excentrique Dr. John Dolittle, célèbre docteur et vétérinaire de l’Angleterre de la Reine Victoria s’isole derrière les murs de son manoir, avec pour seule compagnie sa ménagerie d’animaux exotiques.","2,2","2,9"
Kaamelott – Premier volet,21 juillet 2021,2h 00min,[],N/A,['Anne Girouard'],"Le tyrannique Lancelot-du-Lac et ses mercenaires saxons font régner la terreur sur le royaume de Logres. Arthur parviendra-t-il à fédérer les clans rebelles, renverser son rival, reprendre Kaamelott et restaurer la paix sur l'île de Bretagne ?","3,3","3,4"
"Mon chat et moi, la grande aventure de Rroû",5 avril 2023,1h 23min,[],N/A,"['Capucine Sainson-Fabresse', 'Corinne Masiero']","Rroû est un chaton vif et curieux qui découvre la vie sur les toits de Paris. Son destin bascule lorsque Clémence, dix-ans, l’adopte et l’emmène dans sa maison de campagne au cœur des montagnes. Débute alors une extraordinaire aventure pour Clémence et Rroû, qui vont grandir ensemble, croiser la route de la mystérieuse Madeleine et vivre une merveilleuse histoire qui va les transformer à tout jamais.","2,7","3,5"
Joyeuse retraite 2,20 juillet 2022,1h 32min,[],N/A,"['Michèle Laroque', 'Thierry Lhermitte']","lls pensaient enfin passer une retraite tranquille… 3 ans ont passé. Marilou et Philippe décident de faire découvrir à leurs petits-enfants leur nouvelle maison de vacances au Portugal. Mais une fois sur place, ils découvrent horrifiés que la maison est encore en chantier !","1,4","1,8"
Tout l'argent du monde,27 décembre 2017,2h 13min,[],N/A,"['Michelle Williams', 'Christopher Plummer']","Rome, 1973. Des hommes masqués kidnappent Paul, le petit-fils de J. Paul Getty, un magnat du pétrole connu pour son avarice, mais aussi l'homme le plus riche du monde.  Pour le milliardaire, l'enlèvement de son petit-fils préféré n'est pas une raison suffisante pour qu’il se sépare d’une partie de sa fortune.","2,9","3,4"
Aux yeux de tous,23 mars 2016,1h 51min,[],N/A,"['Julia Roberts', 'Chiwetel Ejiofor']",Une enquêtrice du FBI découvre avec horreur que l'une de ses filles a été brutalement assassinée. Les conséquences sur son équipe seront nombreuses.,"2,5","3,2"
