Title,Date,Duration,Genres,Director,Crew,Synopsis,Note_Ac,User_score_2
Le Monde après nous,8 décembre 2023,2h 18min,[],N/A,"['Julia Roberts', 'Mahershala Ali']",Une famille qui rêvait d'une pause dans une luxueuse maison de location plonge en plein chaos après une cyberattaque qui neutralise tout appareil – et l'irruption de deux inconnus.,"3,6","2,7"
Pauvres Créatures,17 janvier 2024,2h 21min,[],N/A,"['Emma Stone', 'Mark Ruffalo']","Bella est une jeune femme ramenée à la vie par le brillant et peu orthodoxe Dr Godwin Baxter. Avide de découvrir le monde dont elle ignore tout, elle s'enfuit avec un avocat habile et débauché, et embarque pour une odyssée étourdissante à travers les continents.","3,8","4,2"
Un silence,10 janvier 2024,1h 39min,[],N/A,"['Daniel Auteuil', 'Emmanuelle Devos']","Silencieuse depuis 25 ans, Astrid la femme d’un célèbre avocat voit son équilibre familial s’effondrer lorsque ses enfants se mettent en quête de justice.","3,5","2,9"
Perfect Days,29 novembre 2023,2h 05min,[],N/A,"['Koji Yakusho', 'Tokio Emoto']","Hirayama travaille à l’entretien des toilettes publiques de Tokyo. Il s’épanouit dans une vie simple, et un quotidien très structuré. Il entretient une passion pour la musique, les livres, et les arbres qu’il aime photographier. Son passé va ressurgir au gré de rencontres inattendues. Une réflexion émouvante et poétique sur la recherche de la beauté dans le quotidien.","3,6","4,1"
Les Trois Mousquetaires: D'Artagnan,5 avril 2023,2h 01min,[],N/A,"['François Civil', 'Vincent Cassel']","Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.","3,7","4,0"
Past Lives – Nos vies d’avant,13 décembre 2023,1h 46min,[],N/A,"['Greta Lee', 'Yoo Teo']","A 12 ans, Nora et Hae Sung sont amis d’enfance, amoureux platoniques. Les circonstances les séparent. A 20 ans, le hasard les reconnecte, pour un temps. A 30 ans, ils se retrouvent, adultes, confrontés à ce qu’ils auraient pu être, et à ce qu’ils pourraient devenir.","4,0","4,1"
Une équipe de rêve,20 décembre 2023,1h 43min,[],N/A,"['Michael Fassbender', 'Oscar Kightley']","Inspirée d’une histoire vraie, l’incroyable épopée de l’équipe de football des Samoa américaines qui subit en 2001 la pire défaite de l’histoire de la Coupe du monde, battue 31 à 0 par l’Australie.","2,9","3,5"
Napoléon,22 novembre 2023,2h 38min,[],N/A,"['Joaquin Phoenix', 'Vanessa Kirby']","L'ascension et à la chute de l'Empereur Napoléon Bonaparte. Le film retrace la conquête acharnée du pouvoir par Bonaparte à travers le prisme de ses rapports passionnels et tourmentés avec Joséphine, le grand amour de sa vie.","3,0","2,3"
Kina & Yuk : renards de la banquise,27 décembre 2023,1h 20min,[],N/A,['Virginie Efira'],"Kina et Yuk, un couple de renards polaires prêt à fonder leur famille, vivent paisiblement sur la banquise du Grand Nord. La température est anormalement douce et la nourriture de plus en plus rare, obligeant Yuk à s’aventurer toujours plus loin pour subvenir à leurs besoins.","3,5","4,0"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,15 novembre 2023,2h 38min,[],N/A,"['Tom Blyth', 'Rachel Zegler']","Le jeune Coriolanus est le dernier espoir de sa lignée, la famille Snow autrefois riche et fière est aujourd’hui tombée en disgrâce dans un Capitole d'après-guerre. À l’approche des 10ème HUNGER GAMES, il est assigné à contrecœur à être le mentor de Lucy Gray Baird, une tribut originaire du District 12.","3,1","3,8"
Dream Scenario,27 décembre 2023,1h 41min,[],N/A,"['Nicolas Cage', 'Julianne Nicholson']","Paul Matthews, un banal professeur, voit sa vie bouleversée lorsqu’il commence à apparaître dans les rêves de millions de personnes. Paul devient alors une sorte de phénomène médiatique, mais sa toute nouvelle célébrité va rapidement prendre une tournure inattendue…","3,5","3,4"
