Title,Date,Duration,Note_Imdb,User_score_1,Synopsis
12 Years a Slave,2013,2h 14m,"8,1 (734 k)",96,"Aux États-Unis avant la guerre de Sécession, Solomon Northup, un Afro-américain libre du nord de l'État de New York est enlevé et vendu comme esclave."
Mon voisin Totoro,1988,1h 26m,"8,1 (371 k)",86,"Lorsque deux jeunes filles déménagent à la campagne pour être près de leur mère souffrante, elles vivent des aventures avec les merveilleux esprits de la forêt qui vivent tout près."
Barry Lyndon,1975,3h 5m,"8,1 (180 k)",89,"En Angleterre au dix-huitième siècle, un Irlandais malhonnête gagne le coeur d'une veuve riche et assume la position aristocratique de son mari décédé."
In the Mood for Love,2000,1h 38m,"8,1 (164 k)",87,"Deux voisins se lient d'une amitié profonde lorsqu'ils soupçonnent les activités extraconjugales de leurs conjoints. Ils décident néanmoins de garder une relation platonique, pour ne pas commettre à leur tour un adultère."
Network - Main basse sur la TV,1976,2h 1m,"8,1 (168 k)",83,Une chaîne de télévision exploite cyniquement les divagations et les révélations d'un ancien présentateur dérangé au sujet des médias d'information pour son propre profit.
Gran Torino,2008,1h 56m,"8,1 (807 k)",72,"Walt Kowalski, renfrogné vétéran de la guerre de Corée, voudrait éduquer son voisin, adolescent de Hmong, qui avait essayé de voler le bien le plus préciuex de Kowalski, sa voiture Gran Torino de 1972."
Raging Bull,1980,2h 9m,"8,1 (375 k)",90,"La vie du boxeur Jake LaMotta, que la violence et le caractère sanguin auront conduit au sommet du ring tout en détruisant sa vie en dehors de celui-ci."
Portrait de la jeune fille en feu,2019,2h 2m,"8,1 (106 k)",95,"Sur une île isolée de Bretagne à la fin du XVIIIe siècle, Marianne est peintre et doit réaliser le portrait de mariage d'Héloïse, une jeune femme qui vient de quitter le couvent."
"Paris, Texas",1984,2h 25m,"8,1 (116 k)",81,"Travis Henderson, un vagabond sans but disparu depuis quatre ans, sort du désert et doit se reconnecter avec la société, lui-même, sa vie et sa famille."
Stalker,1979,2h 42m,"8,1 (143 k)",85,Un guide conduit deux hommes à travers une aire connue sous le nom de 'Zone' pour trouver une pièce qui accorde des voeux.
Million Dollar Baby,2004,2h 12m,"8,1 (715 k)",86,Une femme résolue travaille avec un coach de boxe expérimenté afin de devenir professionel.
Hatchi,2009,1h 33m,"8,1 (306 k)",N/A,Un professeur d'université se lie à un chien errant qu'il ramène chez lui.
La haine,1995,1h 38m,"8,1 (192 k)",N/A,24 heures dans la vie de trois jeunes de banlieue en France au lendemain de violentes émeutes.
Sur les quais...,1954,1h 48m,"8,1 (163 k)",91,"Un ancien champion de lutte, devenu docker, lutte pour tenir tête à ses patrons syndicaux corrompus."
Les Nouveaux Sauvages,2014,2h 2m,"8,1 (213 k)",77,Six nouvelles qui explorent les extrémités du comportement humain impliquant des personnes en désarroi.
Le géant de fer,1999,1h 26m,"8,1 (222 k)",85,"Dans le nord-est des États-Unis, à la fin des années 1950, un grand robot - d'une hauteur de 30 m - d'origine extraterrestre, se lie d'amitié avec un garçon de huit ans et un jeune artiste beatnik."
Ben-Hur,1959,3h 32m,"8,1 (251 k)",90,"Lorsqu'un prince juif est trahi et envoyé aux galères par un ami romain, il recouvre sa liberté et revient se venger."
Before Sunset,2004,1h 20m,"8,1 (284 k)",91,"Neuf ans après leur première rencontre, Jesse et Céline se retrouvent à nouveau lors de la tournée française du livre de Jesse."
Silent Voice,2016,2h 10m,"8,1 (98 k)",78,"Un jeune homme est ostracisé par ses camarades de classe après qu'il harcèle une jeune fille sourde au point qu'elle déménage. Des années plus tard, il s'engage sur le chemin de la rédemption."
Le septième sceau,1957,1h 36m,"8,1 (196 k)",88,"Un homme cherche des réponses sur la vie, la mort et l'existence de Dieu en jouant aux échecs contre la Faucheuse pendant la peste noire."
Luke la main froide,1967,2h 7m,"8,1 (187 k)",92,"Un homme est condamné à deux ans de prison, forcé à travailler dans le ""chain gangs"" à la construction de routes. Il refuse de se conformer, attirant l'admiration de ses camarades et le courroux des gardiens."
Au nom du père,1993,2h 13m,"8,1 (185 k)",84,Un homme contraint à avouer un attentat à la bombe de l'IRA qu'il n'a pas commis voit également son père incarcéré. Un avocat anglais se bat pour les faire libérer.
Le troisième homme,1949,1h 44m,"8,1 (180 k)",97,"Holly Martins, écrivain de romans de gare, se rend dans une Vienne ténébreuse d'après-guerre et se retrouve à enquêter sur la mort mystérieuse de son vieil ami, Harry Lime."
Amours chiennes,2000,2h 34m,"8,1 (251 k)",83,"Un horrible accident de voiture relie trois histoires, chacune impliquant des personnages faisant face à la perte, au regret et aux dures réalités de la vie, tout cela au nom de l'amour."
Le pont de la rivière Kwaï,1957,2h 41m,"8,1 (231 k)",87,"Après avoir résolu ses différends avec le commandant d'un camp japonais de prisonniers de guerre, un colonel britannique coopère pour superviser la construction par ses hommes d'un pont ferroviaire pour leurs geôliers, sans savoir que les Alliés prévoient de le détruire."
Hôtel Rwanda,2004,2h 1m,"8,1 (369 k)",79,Paul Rusesabagina était un directeur d'hôtel au Rwanda qui a accueilli plus d'un millier de réfugiés Tutsis pendant leur lutte contre les milices Hutus.
New York - Miami,1934,1h 45m,"8,1 (111 k)",87,Une héritière gâtée qui fuit sa famille est aidée par un homme qui est en fait un journaliste ayant besoin d'une histoire pour un article.
Rebecca,1940,2h 10m,"8,1 (145 k)",86,"Un jeune Lord anglais emmène sa jeune épouse dans son manoir où plane le souvenir de sa première femme, Rebecca..."
L'homme qui tua Liberty Valance,1962,2h 3m,"8,1 (81 k)",94,"A l'enterrement de Tom, le sénateur Stoddard explique à un journaliste comment, grâce à Tom, l'Etat fut débarrassé du tueur Liberty Valance et comment lui, arrivé dans l'Ouest comme jeune avocat, il gagna ses galons de sénateur."
Persona,1966,1h 25m,"8,1 (129 k)",86,Une actrice muette est confiée à une infirmière qui constate que leurs personnalités se confondent.
P.K.,2014,2h 33m,"8,1 (199 k)",N/A,"Un extraterrestre sur Terre perd le seul appareil qu'il possède pour communiquer avec son vaisseau spatial. Sa candeur, son innocence et ses questions enfantines obligent le pays à réfléchir sur l'impact de la religion parmi l'humanité."
La barbe à papa,1973,1h 42m,"8,1 (52 k)",77,"Pendant la Grande Dépression, un escroc se retrouve avec une fillette qui pourrait bien être sa fille sur les bras. Il en découle une collaboration improbable."
Neon Genesis Evangelion: The End of Evangelion,1997,1h 27m,"8,1 (62 k)",N/A,Fin de la série télévisée Neon Genesis Evangelion (1995).
Mary et Max.,2009,1h 32m,"8,1 (185 k)",N/A,"Une histoire d'amitié entre deux correspondants improbables : Mary, une fillette solitaire de huit ans vivant dans la banlieue de Melbourne, et Max, un homme de 44 ans, gravement obèse, vivant à New York."
Les Plus Belles Années de notre vie,1946,2h 50m,"8,1 (70 k)",93,Trois vétérans de la Seconde Guerre mondiale rentrent chez eux dans une petite ville de l'Amérique profonde et découvrent que leur famille et eux-mêmes ont irrémédiablement changé.
Fanny et Alexandre,1982,3h 8m,"8,1 (67 k)",100,"Deux jeunes enfants suédois vivent les nombreuses comédies et tragédies de leur famille, les Ekdhal."
Une femme sous influence,1974,2h 35m,"8,1 (28 k)",88,"Mabel, épouse et mère de famille, est aimée par son mari Nick, mais sa maladie mentale se révèle être un problème dans leur mariage."
Underground,1995,2h 50m,"8,1 (61 k)",79,"Un groupe de socialistes serbes se prépare à la guerre dans une cave surréaliste qui allient fêtes, tragédies, amour et haine."
Les Quatre Cents Coups,1959,1h 39m,"8,1 (126 k)",N/A,Un jeune garçon laissé sans surveillance plonge dans une vie de petite délinquance.
À l'Ouest rien de nouveau,1930,2h 32m,"8,1 (67 k)",91,Un jeune soldat fait face à une profonde désillusion dans l'horreur abrutissante de la Première Guerre mondiale.
Voyage à Tokyo,1953,2h 16m,"8,1 (67 k)",100,"Un vieux couple rend visite à ses enfants et petits-enfants en ville, mais ne reçoit que peu d'attention."
Trois couleurs: Rouge,1994,1h 39m,"8,1 (109 k)",100,Un mannequin découvre qu'un juge à la retraite tient à s'immiscer dans la vie privée des gens.
Les raisins de la colère,1940,2h 9m,"8,1 (99 k)",96,"Une famille pauvre du Midwest américain est forcée de quitter ses terres. Ils voyagent vers la Californie, subissant les malheurs des sans-abri de la Grande Dépression."
Les chaussons rouges,1948,2h 15m,"8,1 (38 k)",N/A,Une jeune ballerine est déchirée entre l'homme qu'elle aime et son rêve de devenir une danseuse étoile.
Yi yi,2000,2h 53m,"8,1 (28 k)",94,Chaque membre d'une famille de la classe moyenne de Taipei cherche à réconcilier des relations passées et présentes dans leur vie quotidienne.
Les fraises sauvages,1957,1h 31m,"8,1 (114 k)",88,"Après avoir vécu une froide vie, un vieux professeur est contraint d'affronter le vide de son existence."
Le message,1976,2h 57m,"8,1 (50 k)",N/A,Ce drame historique épique raconte la vie et l'époque du Prophète Mahomet et sert d'introduction à l'histoire islamique primitive.
Adieu ma concubine,1992,2h 51m,"8,1 (32 k)",84,"Dieyi et Xiaolou, formés depuis l'enfance à l'art de l'opéra de Pékin, occupent désormais le haut de l'affiche. Dieyi, secrètement amoureux de son compère récemment marié, voit leur amitié se fragiliser dans un pays en constante évolution."
Bajrangi Bhaijaan,2015,2h 43m,"8,1 (96 k)",N/A,"Pawan, disciple de Lord Hanuman, doit faire face à de nombreux défis lorsqu’il essaie de réunir Munni avec sa famille après que cette dernière se soit perdue en rentrant chez elle avec sa mère."
Munna Bhai M.B.B.S.,2003,2h 36m,"8,1 (87 k)",N/A,A gangster sets out to fulfill his father's dream of becoming a doctor.
Andreï Roublev,1966,3h 25m,"8,1 (56 k)",N/A,La vie et les afflictions de l'iconographe russe du XVe siècle Saint Andrei Roublev.
Mr. Smith au sénat,1939,2h 9m,"8,1 (120 k)",73,"Un homme naïf est désigné pour occuper un poste vacant au Sénat américain. Ses projets se heurtent rapidement à la corruption politique, mais il ne fléchit pas."
Lagaan,2001,3h 44m,"8,1 (120 k)",84,Les habitants d'un petit village de l'Inde victorienne misent leur avenir sur une partie de cricket contre leurs impitoyables colons britanniques.
La forteresse cachée,1958,2h 19m,"8,1 (42 k)",89,"Au XVIè siècle au Japon, deux paysans veulent franchir la ligne de front d'une guerre. Ils rencontrent un mystérieux soldat et une femme qui se cache dans un lieu secret dont les collines forment comme une forteresse."
Les diaboliques,1955,1h 57m,"8,1 (69 k)",N/A,"La femme et la maîtresse d'un directeur d'école détesté élaborent un plan pour l'assassiner tout en ayant un alibi parfait. Elles exécutent leur plan... mais ensuite, son corps disparait."
Jeu dangereux,1942,1h 39m,"8,1 (42 k)",86,"Pendant l'occupation nazie de la Pologne, une troupe de comédiens se retrouve mêlée aux efforts d'un soldat polonais pour traquer un espion allemand."
Procès de singe,1960,2h 8m,"8,1 (32 k)",75,"Inspiré d'une affaire réelle de 1925, deux grands avocats plaident pour et contre un professeur de sciences accusé du crime d'enseigner l'évolution."
"Les enfants loups, Ame & Yuki",2012,1h 57m,"8,1 (49 k)",71,"Après la mort soudaine de son amant loup-garou dans un accident alors qu'elle cherchait de la nourriture pour leurs enfants, une jeune femme doit trouver élever un fils et une fille loup-garou et les protéger de la société."
Guilty,2015,2h 12m,"8,1 (38 k)",N/A,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
La bataille d'Alger,1966,2h 1m,"8,1 (65 k)",96,"Dans les années 50, la peur et la violence s'intensifient alors que les habitants d'Alger se battent pour leur indépendance contre le gouvernement français."
L'aurore,1927,1h 34m,"8,1 (53 k)",95,"Une femme de la ville, qui passe ses vacances à la campagne, séduit un fermier et le convainc de tuer son épouse. Une allégorie sur le bien, le mal, l'amour et le destin."
La passion de Jeanne d'Arc,1928,1h 50m,"8,1 (60 k)",98,"Le procès de Jeanne d'Arc, au terme duquel elle fut brûlée sur le bûcher."
Le mécano de la Générale,1926,1h 18m,"8,1 (97 k)",N/A,"Lorsque des espions volent la locomotive bien-aimée d'un ingénieur, il la poursuit à travers les lignes ennemies."
Le château de l'araignée,1957,1h 50m,"8,1 (55 k)",N/A,"Un général endurci par la guerre, poussé par son épouse ambitieuse, travaille pour accomplir une prophétie selon laquelle il deviendrait le seigneur du château de la toile d'araignée."
La ruée vers l'or,1925,1h 35m,"8,1 (117 k)",N/A,Le célèbre assaut pour tout l'or de l'Oklahoma vu par l'un des maîtres du burlesque américain.
Le temps des gitans,1988,2h 22m,"8,1 (32 k)",N/A,"Dans la région de Sarajevo et en Italie, Perhan est un jeune Rom doté de pouvoirs de télékinésie, séduit par le monde de l'argent facile et de la délinquance qui menace de le détruire ainsi que ceux qu'il aime."
A Wednesday,2008,1h 44m,"8,1 (82 k)",N/A,"Un policier qui part à la retraite se souvient du jour le plus étonnant de sa carrière. Il s’agit d'une affaire qui n'a jamais été classée, mais qui continue à le hanter, impliquant un homme et se déroulant un mercredi mémorable."
Barfi!,2012,2h 31m,"8,1 (86 k)",N/A,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
OMG: Oh My God!,2012,2h 5m,"8,1 (65 k)",N/A,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Masaan,2015,1h 49m,"8,1 (31 k)",N/A,"Le long du Gange en Inde, quatre personnes sont confrontées à des préjugés, à un code moral strict et à un système de castes punitif alors qu'elles font face à des tragédies personnelles."
Mandarines,2013,1h 27m,"8,1 (48 k)",73,"La Guerre de Géorgie, dans la région de l'Abkhazie, en 1990. Un estonien, Ivo, est resté pour récolter sa production de mandarines. Lors d'un conflit sanglant survenant devant sa porte, un homme blessé est laissé pour compte. Ivo est obligé de l'abriter."
Sonate d'automne,1978,1h 39m,"8,1 (37 k)",N/A,Une pianiste réputée rend visite à une jeune fille mariée qui ne désire que l'amour de sa mère.
Dil Chahta Hai,2001,3h 3m,"8,1 (75 k)",N/A,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
Les nuits de Cabiria,1957,1h 50m,"8,1 (51 k)",N/A,Une prostituée erre dans les rues de Rome à la recherche du véritable amour mais ne trouve que le chagrin.
Rang De Basanti,2006,2h 47m,"8,1 (122 k)",N/A,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Épouses et concubines,1991,2h 5m,"8,1 (35 k)",N/A,Une jeune femme devient la quatrième épouse d'un riche seigneur et doit apprendre à vivre avec les règles strictes et les tensions du foyer.
Article 15,2019,2h 10m,"8,1 (36 k)",N/A,"Dans le contexte de l'affaire du viol collectif et du meurtre de Badaun, l'article 15 d'Anubhav Sinha est un drame d'enquête passionnant inspiré de faits réels."
Le gouffre aux chimères,1951,1h 51m,"8,1 (39 k)",72,"Un ancien journaliste de la grande ville frustré qui se retrouve maintenant à travailler au journal local d'Albuquerque exploite l'histoire d'un homme pris au piège dans une grotte pour relancer sa carrière, mais la situation dégénère rapidement en chaos incontrôlable."
Du rififi chez les hommes,1955,1h 58m,"8,1 (36 k)",97,"Tony sort de prison. Avec d'ancien complices, il organise le braquage d'une grande bijouterie parisienne. Mais une bande rivale les surveille."
Pink,2016,2h 16m,"8,1 (48 k)",N/A,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
Queen,2013,2h 26m,"8,1 (68 k)",N/A,"À Delhi, une fille issue d'une famille traditionnelle part seule en lune de miel après l'annulation de son mariage."
L'enfer est à lui,1949,1h 54m,"8,1 (35 k)",89,Un psychopathe criminel souffrant du complexe d'OEdipe s'échappe de prison et entraîne son ancien gang dans le braquage d'une usine chimique.
La grande illusion,1937,1h 53m,"8,1 (39 k)",N/A,"Pendant la Première Guerre mondiale, deux soldats français sont capturés et emprisonnés dans un camp de prisonniers allemand. Plusieurs tentatives d'évasion s'ensuivent jusqu'à ce qu'ils soient envoyés dans une forteresse en apparence impénétrable dont il semble impossible de s'échapper."
Jean de Florette,1986,2h,"8,1 (27 k)",N/A,Un propriétaire foncier avide et son neveu arriéré conspirent pour bloquer la seule source d'eau d'une propriété adjacente afin de mettre en faillite le propriétaire et de le forcer à vendre.
Sholay,1975,3h 24m,"8,1 (58 k)",N/A,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
Brève histoire d'amour,1988,1h 27m,"8,1 (26 k)",N/A,"Un innocent jeune homme espionne sa voisine de l'immeuble d'en face et tombe amoureux d'elle. Il commence alors à recourir à des ruses qui, espère-t-il, les amèneront à se rencontrer."
Sarfarosh,1999,2h 54m,"8,1 (27 k)",N/A,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
Chak De! India,2007,2h 33m,"8,1 (84 k)",68,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
Eskiya le bandit,1996,2h 1m,"8,1 (72 k)",N/A,"Le bandit Baran, sorti de prison après 35 ans, réclame vengeance et recherche son amante."
Le cirque,1928,1h 12m,"8,1 (36 k)",90,Charlot trouve du travail et la fille de ses rêves dans un cirque.
Viridiana,1961,1h 31m,"8,1 (26 k)",N/A,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior."
Kahaani,2012,2h 2m,"8,1 (65 k)",N/A,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
Hera Pheri,2000,2h 36m,"8,1 (72 k)",N/A,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
Udaan,2010,2h 14m,"8,1 (47 k)",N/A,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
Black,2005,2h 2m,"8,1 (36 k)",N/A,"L'histoire cathartique d'une jeune femme qui ne peut ni voir, ni entendre, ni parler et de l'enseignante qui apporte un rayon de lumière dans son monde sombre."
Her Sey Çok Güzel Olacak,1998,1h 47m,"8,1 (27 k)",N/A,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan tried to double-cross. Along the way, the brother who are compete opposites finally bond."
Anand,1971,2h 2m,"8,1 (35 k)",N/A,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Winter Break,2023,2h 13m,"8,0 (58 k)",82,Un professeur grincheux est contraint de rester sur le campus pour s'occuper d'un groupe d'étudiants qui n'ont nulle part où aller pendant les vacances de Noël. Il finit par nouer un lien improbable avec l'un d'entre eux.
Past lives - Nos vies d'avant,2023,1h 45m,"8,0 (64 k)",94,"Nora et Hae Sung, deux amis d'enfance profondément liés, sont séparés après que la famille de Nora a émigré de Corée du Sud."
Dune,2021,2h 35m,"8,0 (746 k)",74,"Dans un futur lointain, la guerre fait rage entre familles de l'empire. Lorsque Leto Atréides est assassiné, son fils Paul s'allie aux mystérieux Fremen pour contrôler la production d'Epice et percer les secrets d'Arakis, la planète Dune."
Blade Runner 2049,2017,2h 44m,"8,0 (643 k)",81,"Un jeune agent spécial fait une découverte qui l'amène à la recherche d'un ancien agent nommé Rick Deckard, porté disparu depuis 30 ans."
La La Land,2016,2h 8m,"8,0 (652 k)",94,"Tout en naviguant dans leurs carrières à Los Angeles, un pianiste et une actrice tombent amoureux tout en essayant de concilier leurs aspirations pour l'avenir."
Black Swan,2010,1h 48m,"8,0 (814 k)",79,"Une danseuse remporte le rôle principal dans une production du ""Lac des cygnes"" de Tchaïkovski, mais se démène pour préserver sa lucidité."
Princess Bride,1987,1h 38m,"8,0 (446 k)",78,"Un grand-père lit, à son petit-fils malade, un conte intitulé Princess Bride. L'histoire d'un jeune valet de ferme affrontant de multiples dangers afin de retrouver la femme qu'il aime, qui est maintenant promise au prince du pays."
The Revenant,2015,2h 36m,"8,0 (860 k)",76,Un pionnier faisant partie d'une expédition de commerce de fourrures dans les années 1820 se bat pour survivre après avoir été attaqué par un ours et laissé pour mort par sa propre équipe de chasse.
Deadpool,2016,1h 48m,"8,0 (1,1 M)",65,Un mercenaire bien bavard à l'humour noir est soumis à une expérience qui lui donne des pouvoirs de guérison accélérés et une soif de vengeance.
Her,2013,2h 6m,"8,0 (659 k)",91,"Dans un avenir proche, un écrivain solitaire développe une relation improbable avec un système d'exploitation conçu pour répondre à tous ses besoins."
Les Gardiens de la Galaxie,2014,2h 1m,"8,0 (1,3 M)",76,Un groupe de criminels intergalactiques sont obligés de travailler ensemble pour empêcher un guerrier fanatique de prendre le contrôle de l'univers.
Seul sur Mars,2015,2h 24m,"8,0 (909 k)",80,"Un astronaute se retrouve coincé sur Mars après que son équipe l'ait présumé mort, et doit compter sur son ingéniosité pour trouver un moyen de signaler à la Terre qu'il est vivant."
Rain Man,1988,2h 13m,"8,0 (540 k)",65,"À la mort de son père, Charlie apprend que toute sa fortune a été léguée à un hôpital psychiatrique. Désireux de comprendre, il se rend sur place et découvre l'existence de son frère autiste qu'il kidnappe pour récupérer son héritage."
Soul,2020,1h 40m,"8,0 (370 k)",83,Un musicien qui a perdu sa passion pour la musique est transporté hors de son corps et doit retrouver son chemin avec l'aide d'une âme enfant qui apprend à se connaître.
Donnie Darko,2001,1h 53m,"8,0 (841 k)",88,"Un adolescent en difficulté est victime des visions d'un homme en grand costume de lapin qui le manipule pour commettre une série de crimes, après avoir échappé de justesse à un étrange accident."
Avengers,2012,2h 23m,"8,0 (1,4 M)",69,Les plus grands héros de la Terre doivent s'unir et apprendre à se battre s'ils veulent empêcher Loki et son armée extraterrestre d'asservir l'humanité tout entière.
Casino Royale,2006,2h 24m,"8,0 (688 k)",80,"Armé d'un permis de tuer, l'agent secret James Bond part pour sa première mission en tant que 007 et doit vaincre un banquier privé terroriste dans un jeu de poker au Casino Royale au Monténégro, mais les choses ne sont pas ce qu'elles semblent être."
CODA,2021,1h 51m,"8,0 (159 k)",72,"Remake américain de La famille Bélier. Ruby est la seule personne entendante de sa famille. Lorsque l'entreprise de pêche familiale est menacée, Ruby se retrouve partagée entre son amour de la musique et sa peur d'abandonner ses parents."
Zootopie,2016,1h 48m,"8,0 (537 k)",78,"Dans une ville d'animaux, un policier lapin novice et un renard escroc cynique doivent travailler ensemble pour dévoiler un complot."
Danse avec les loups,1990,3h 1m,"8,0 (287 k)",72,"Pendant la guerre de Sécession, le lieutenant John Dunbar, affecté à un poste éloigné dans l'Ouest du pays, se lie d'amitié avec les loups et les Indiens. Pour l'armée, ces liens sont inacceptables."
Imitation Game,2014,1h 54m,"8,0 (815 k)",71,"Pendant la Seconde Guerre mondiale, le génie mathématique anglais Alan Turing essaie de déchiffrer le code allemand Enigma avec l'aide d'autres mathématiciens."
Les Indestructibles,2004,1h 55m,"8,0 (795 k)",90,Une famille de super-héros infiltrés essayant de vivre dans une banlieue tranquille est forcée d'agir pour sauver le monde.
Sin City,2005,2h 4m,"8,0 (789 k)",74,"Ce film explore la ville sombre et misérable de Basin City et raconte l'histoire de trois personnages différents, tous gangrenés par une violente corruption."
Magnolia,1999,3h 8m,"8,0 (326 k)",78,"Une mosaïque épique de personnages étroitement liés, en quête d'amour, de pardon et de sens, dans la vallée de San Fernando."
Le Temps d'un week-end,1992,2h 36m,"8,0 (324 k)",57,"Un étudiant en école privée qui veut se faire de l'argent, travaille comme baby-sitter pour un homme aveugle, mais le travail n'est pas du tout à ce qu'il attend."
Qu'est-il arrivé à Baby Jane?,1962,2h 14m,"8,0 (61 k)",75,Une ancienne enfant-star tourmente sa soeur paraplégique dans leur manoir hollywoodien en ruines.
Aladdin,1992,1h 30m,"8,0 (459 k)",86,"Pour sauver sa vie, Aladdin doit ramener une lampe magique à Jafar. Passé pour mort, un génie le rend riche afin de conquérir le cœur de Jasmine. De retour à Agrabah, la princesse n'est nullement impressionnée et le vizir tente de le tuer."
Un jour sans fin,1993,1h 41m,"8,0 (674 k)",72,"Un présentateur météo se retrouve inexplicablement à revivre le même jour, encore et encore."
Big Fish,2003,2h 5m,"8,0 (456 k)",58,Un fils frustré tente de déterminer ce qui est vrai ou faux dans la vie de son père mourant.
L'Armée des 12 singes,1995,2h 9m,"8,0 (641 k)",75,"Dans un monde futuriste ravagé par la maladie, un détenu est renvoyé dans le temps pour recueillir des informations sur le virus fabriqué par l'homme qui a éradiqué la majeure partie de la population sur Terre."
Le lauréat,1967,1h 46m,"8,0 (286 k)",83,Un diplômé d'université désenchanté se retrouve tiraillé entre son amante plus âgée et la fille de cette dernière.
Blood Diamond,2006,2h 23m,"8,0 (579 k)",64,"Un pêcheur, un contrebandier et un syndicat d'hommes d'affaires s'affrontent pour la possession d'un diamant à prix inestimable."
Frankenstein junior,1974,1h 46m,"8,0 (167 k)",83,"Un petit-fils américain du célèbre scientifique, luttant pour prouver que son grand-père n'était pas aussi fou qu'on le croit, est invité en Transylvanie, où il découvre le processus qui réanime un cadavre."
À la recherche du bonheur,2006,1h 57m,"8,0 (552 k)",64,Un représentant de commerce en difficulté s'occupe de son fils alors qu'il s'apprête à entamer une carrière professionnelle qui va changer sa vie.
La Belle et la Bête,1991,1h 24m,"8,0 (475 k)",95,"Un prince égoïste est maudit de devenir un monstre pour le restant de ses jours, à moins d'apprendre à tomber amoureux d'une belle jeune femme qu'il garde prisonnier."
JFK,1991,3h 9m,"8,0 (168 k)",72,Le procureur de La Nouvelle-Orléans Jim Garrison découvre que l'assassinat de Kennedy est bien plus compliqué que la version officielle.
Kill Bill: Volume II,2004,2h 17m,"8,0 (795 k)",83,"La mariée poursuit sa quête de vengeance contre son ancien chef et amant Bill, le videur solitaire Budd, et la traître et borgne Elle."
Slumdog Millionaire,2008,2h,"8,0 (871 k)",84,"""Un adolescent à Mumbai songe à son édcuation dans les bidonvilles alors qu'il est accusé d'avoir triché à l'équivalent indien de """"Qui Veut Gagner Des Millions?"""""""
Lion,2016,1h 58m,"8,0 (248 k)",69,"Un jeune Indien âgé de cinq ans se perd dans les rues de Calcutta, à des milliers de kilomètres de chez lui. Il survit à de nombreux défis avant d'être adopté par un couple en Australie. 25 ans plus tard, il entreprend de retrouver sa famille perdue."
Le discours d'un roi,2010,1h 58m,"8,0 (703 k)",88,"L'histoire du Roi George VI du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord, de son accession surprise au trône et de l'orthophoniste qui aida ce monarque mal assuré à devenir digne de son rôle."
Rosemary's Baby,1968,2h 17m,"8,0 (232 k)",96,"Un jeune couple emménage dans un appartement et se retrouve vite entouré de voisins et d'événements bizarres. Lorsque la femme tombe mystérieusement enceinte, la paranoïa sur la sécurité de son enfant à naître commence à contrôler sa vie."
La Planète des singes,1968,1h 52m,"8,0 (190 k)",79,"Egaré dans l'espace-temps, un engin spatial américain s'écrase en 3978 sur une planète inconnue. Les astronautes Taylor, Landon et Dodge découvrent que les hommes primitifs de cette planète mystérieuse sont placés sous le joug de singes très évolués..."
L'accusé,2016,1h 46m,"8,0 (190 k)",N/A,"Alors que le temps file, avec l'aide d'un expert en préparation de témoins, un entrepreneur à succès accusé de meurtre dispose de moins de trois heures pour présenter une défense irréprochable."
Perfect Blue,1997,1h 21m,"8,0 (92 k)",67,"Mima, une chanteuse pop, met un terme à sa carrière afin de devenir actrice. Ses moindres faits et gestes commencent alors à être surveillés et des menaces lui sont adressées. Peu à peu réalité et fiction s'entremêlent."
De l'ombre à la lumière,2005,2h 24m,"8,0 (197 k)",69,"L'histoire de James Braddock, un boxeur soi-disant en fin de carrière, qui est remonté sur le ring pour devenir un champion dans les années 1930."
Akira,1988,2h 4m,"8,0 (202 k)",67,Un projet militaire secret met en danger Néo-Tokyo lorsqu'il transforme le membre d'un gang de motards en un psychopathe psychique déchaîné qui ne peut être arrêté que par deux adolescents et un groupe de voyants.
Dogville,2003,2h 58m,"8,0 (157 k)",61,"Une femme en fuite de la mafia est acceptée à contrecoeur dans une petite ville du Colorado. En échange, elle accepte de travailler pour eux. En fouillant la ville, elle découvre que leur soutien a un prix. Pourtant, son dangereux secret n'est jamais bien loin."
